symbol,date,HotScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,marketCap
MODG,2025-11-26 21:17:41,0.8262803234501348,12.72,8.810956,2.0623256468635343,2472353.0,2338999808.0
NBIX,2025-11-26 21:17:41,0.8971698113207548,151.58,5.608586,1.8046351253369228,941981.0,15113390080.0
ODD,2025-11-26 21:17:41,0.810377358490566,43.04,4.238314,2.102095635514264,762060.0,2472169216.0
OLMA,2025-11-26 21:17:41,0.8316711590296495,28.12,7.863449,1.268229884688382,3238789.0,2254096896.0
OSCR,2025-11-26 21:17:41,0.7675202156334232,18.16,8.547522,1.163059706634147,17417160.0,5229302272.0
PAAS,2025-11-26 21:17:41,0.8257412398921832,42.59,7.8500843,1.1406531464521608,6470065.0,17974982656.0
PI,2025-11-26 21:17:41,0.755121293800539,172.81,4.4863644,0.902318785382878,561889.0,5203159040.0
PKX,2025-11-26 21:17:41,0.8481132075471698,54.96,5.2067327,1.4585514379262163,143853.0,16624471040.0
PTCT,2025-11-26 21:17:41,0.8498652291105121,86.25,4.003376,8.583597076347047,1277443.0,6924866048.0
RCUS,2025-11-26 21:17:41,0.7820754716981131,25.56,5.2718234,1.3663607936056703,1385978.0,3162501376.0
SYM,2025-11-26 21:17:41,0.9548517520215632,87.3,12.951225,2.6269743676283244,2168859.0,51750776832.0
TER,2025-11-26 21:17:41,0.8471698113207546,179.38,6.9839606,0.9931784877021708,3768226.0,28534611968.0
TEVA,2025-11-26 21:17:41,0.7692722371967654,26.32,5.3221283,1.6063675993787974,11010900.0,30196475904.0
TSEM,2025-11-26 21:17:41,0.8799191374663073,103.46,5.572504,1.6907228090486537,1395832.0,11600328704.0
URBN,2025-11-26 21:17:41,0.9650943396226416,77.56,13.54121,4.771464999118246,2098090.0,6956969984.0
VERA,2025-11-26 21:17:41,0.9152291105121292,33.33,13.251789,2.0713227707007404,1539957.0,2130722432.0
VSCO,2025-11-26 21:17:41,0.7547169811320754,40.19,5.2921157,1.01962211009936,2553548.0,3221810688.0
WSC,2025-11-26 21:17:41,0.775067385444744,20.18,4.7767396,2.484137351998766,2918050.0,3674275328.0
ZYME,2025-11-26 21:17:41,0.7815363881401617,27.33,4.3926644,2.0297311672748304,1077287.0,2069848064.0
AA,2025-11-26 21:17:42,0.7892183288409704,41.57,6.04592,1.1367072625459165,6727448.0,10765134848.0
AAUC,2025-11-26 21:17:42,0.850134770889488,19.21,9.95993,1.1952934440643703,342331.0,2382039808.0
ALAB,2025-11-26 21:17:42,0.7654986522911051,154.22,6.5202394,0.826404230911678,6266829.0,26048315392.0
ANF,2025-11-26 21:17:42,0.88544474393531,95.14,5.42997,2.120174497493688,2070173.0,4532785152.0
ARWR,2025-11-26 21:17:42,0.9591644204851753,57.71,23.338316,3.055576178423865,2311350.0,7978843136.0
ASML,2025-11-26 21:17:42,0.7703504043126684,1040.97,3.7628837,0.9887391431881754,1564801.0,404050083840.0
ATMU,2025-11-26 21:17:42,0.9067385444743936,51.04,6.26692,3.6694026159110047,679228.0,4193037312.0
BBAR,2025-11-26 21:17:42,0.8132075471698114,15.92,10.7093,1.1393334005207936,1468528.0,3284214784.0
BE,2025-11-26 21:17:42,0.7491913746630727,101.14,7.26482,0.8391629141447746,14946615.0,23920697344.0
BMA,2025-11-26 21:17:42,0.8479784366576819,82.21,7.4781,1.0230039632296202,800862.0,5256617472.0
BMNR,2025-11-26 21:17:42,0.7756064690026955,31.74,9.789,1.0840869781381346,44949778.0,12190312448.0
BURL,2025-11-26 21:17:42,0.8656334231805931,260.65,4.40617,1.5860688152246405,1064590.0,16430076928.0
CIFR,2025-11-26 21:17:42,0.7405660377358491,19.15,9.303648,1.0912547333048424,51742653.0,7566012928.0
CLSK,2025-11-26 21:17:42,0.8243935309973045,13.45,13.790187,2.1256766478836786,32618701.0,3595666176.0
COIN,2025-11-26 21:17:42,0.7742587601078166,264.97,4.269639,0.9953065372126044,9561384.0,71447519232.0
CRDO,2025-11-26 21:17:42,0.7665768194070082,164.01,6.375666,0.8279864083524823,6165257.0,28373008384.0
DELL,2025-11-26 21:17:42,0.8892183288409703,133.26,5.82909,2.1174223073496914,7730107.0,89600442368.0
DUOL,2025-11-26 21:17:42,0.9146900269541778,188.43,7.208693,1.3896963562753035,1926600.0,8710620160.0
ECG,2025-11-26 21:17:42,0.7793800539083557,90.71,3.72785,1.254237110988478,478392.0,4626806272.0
ETOR,2025-11-26 21:17:42,0.8194070080862534,41.98,5.1866693,1.4349516609016102,1167378.0,3513893632.0
EWTX,2025-11-26 21:17:42,0.8057951482479785,25.52,6.068167,1.254467889300073,1025764.0,2701762560.0
FBIN,2025-11-26 21:17:42,0.7400269541778975,51.51,3.87174,1.1526844876672293,1587640.0,6188326912.0
FLNC,2025-11-26 21:17:42,0.7963611859838275,18.99,13.237921,1.0873967327734626,7608900.0,3468780800.0
FN,2025-11-26 21:17:42,0.8359838274932616,449.06,4.5079,1.1246110272021903,636934.0,16088565760.0
HNGE,2025-11-26 21:17:42,0.768733153638814,50.05,3.68759,1.8336936893000015,1476318.0,3939906816.0
HOOD,2025-11-26 21:17:42,0.879245283018868,128.2,10.928439,1.3124530443233449,35537503.0,115276013568.0
ICLR,2025-11-26 21:17:42,0.8839622641509433,183.65,5.22546,1.6227562258320225,994084.0,14282851328.0
KLIC,2025-11-26 21:17:42,0.7412398921832885,44.96,3.2139525,2.839407965469264,505984.0,2354240512.0
KSS,2025-11-26 21:17:42,0.8525606469002696,24.1,7.493311,2.9675812870064635,6160917.0,2700999936.0
LITE,2025-11-26 21:17:42,0.8210242587601078,308.28,5.839946,0.9498792970631956,4269573.0,21860933632.0
MESO,2025-11-26 21:17:42,0.8640161725067386,17.37,8.15692,1.83598713624598,242231.0,2236313600.0
MODG,2025-11-26 21:17:42,0.8262803234501348,12.72,8.810956,2.0623256468635343,2472353.0,2338999808.0
